"STORE","mmid","name","city","zip","long","lat","PROFIT"
5,16894,"DOMINICKS    5","PALATINE",60067,42.1203,-88.0431,13447.87
8,16895,"DOMINICKS    8","OAK LAWN",60453,41.7331,-87.7436,87681.35
9,16896,"DOMINICKS    9","MORTON GROVE",60053,42.0411,-87.7994,89402.57
12,16898,"DOMINICKS   12","CHICAGO",60660,41.9928,-87.6592,119333.01
14,16899,"DOMINICKS   14","GLENVIEW",60025,42.0733,-87.7994,87930.66
18,16901,"DOMINICKS   18","RIVER GROVE",60171,41.9364,-87.8331,86906.28
21,16903,"DOMINICKS   21","HANOVER PARK",60103,42.0058,-88.1411,81261.88
32,16906,"DOMINICKS   32","PARK RIDGE",60068,41.9872,-87.8378,102861.25
33,16907,"DOMINICKS   33","CHICAGO",60657,41.9386,-87.6447,68509.03
40,16909,"DOMINICKS   40","BRIDGEVIEW",60455,41.7317,-87.7969,64210.77
49,16917,"DOMINICKS   49","DOWNERS GROVE",60515,41.8111,-87.9869,64639.85
50,16918,"DOMINICKS   50","HICKORY HILLS",60457,41.7169,-87.8347,41922.66
51,16919,"DOMINICKS   51","PALOS HEIGHTS",60463,41.6594,-87.7775,65721.2
53,16921,"DOMINICKS   53","CHICAGO",60662,42.0039,-87.7069,64905.85
56,16924,"DOMINICKS   56","COUNTRYSIDE",60525,41.7683,-87.8881,73280.8
59,16925,"DOMINICKS   59","CRYSTAL LAKE",60014,42.2275,-88.3136,81985.04
62,16928,"DOMINICKS   62","NORTHFIELD",60093,42.1006,-87.7708,85819.61
64,16930,"DOMINICKS   64","VILLA PARK",60181,41.9075,-87.9844,65978.01
67,16933,"DOMINICKS   67","OAKBROOK TERRACE",60521,41.8586,-87.9736,86959.66
68,16934,"DOMINICKS   68","CHICAGO",60625,41.9758,-87.6917,82011.55
70,16936,"DOMINICKS   70","JOLIET",60435,41.5228,-88.1308,77558.37
71,16937,"DOMINICKS   71","NORTH RIVERSIDE",60546,41.8456,-87.8058,118113.68
72,16938,"DOMINICKS   72","LINCOLNWOOD",60646,42.0139,-87.7469,75038.6
73,16939,"DOMINICKS   73","CHICAGO",60629,41.765,-87.7253,77957.33
74,16940,"DOMINICKS   74","NORRIDGE",60634,41.9553,-87.8086,89678.3
75,16941,"DOMINICKS   75","CHICAGO",60640,41.9764,-87.6542,96492.58
76,16942,"DOMINICKS   76","CHICAGO",60618,41.9394,-87.7114,102123.87
77,16943,"DOMINICKS   77","VERNON HILLS",60061,42.2413,-87.9561,102915.65
78,16944,"DOMINICKS   78","DOWNERS GROVE",60516,41.7536,-88.0119,66897.11
80,16945,"DOMINICKS   80","ARLINGTON HEIGHTS",60005,42.1088,-87.9791,71343.17
81,16946,"DOMINICKS   81","MOUNT PROSPECT",60056,42.0461,-87.9416,75491.56
84,16948,"DOMINICKS   84","ORLAND PARK",60462,41.6164,-87.8511,85131.06
86,16949,"DOMINICKS   86","CHICAGO",60618,41.9419,-87.6886,107641.84
89,16951,"DOMINICKS   89","CHICAGO",60632,41.8075,-87.7047,84119.22
90,16952,"DOMINICKS   90","CHICAGO",60617,41.6814,-87.5394,56995.03
91,16953,"DOMINICKS   91","OAK LAWN",60453,41.7067,-87.7392,78699.56
